timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
2,-12,-17,-3,-3,-11,-2,-2,-5
2,7,-8,-1,-1,5,7,7,7
2,-13,-25,-5,-10,-18,-6,-10,-9
2,1,-19,4,-1,-1,-1,-5,2
2,5,-12,-2,6,-5,0,2,3
2,-9,-21,-2,4,-7,3,-1,-6
2,-8,-30,0,-1,-5,-2,-7,-3
2,-7,-20,1,-3,-7,-5,-7,-4
2,1,-19,-7,-2,-8,8,6,7
2,-8,-33,2,3,-2,-4,-5,-6
2,-4,-16,5,2,-17,-1,-3,-7
2,4,-9,-6,3,0,3,10,4
2,-12,-26,-4,-18,-36,-11,-13,-8
2,-4,-17,2,5,-5,3,-4,-1
2,5,-11,-2,0,-10,-1,4,6
2,-9,-22,-7,-5,-13,2,-3,-3
2,-4,-29,4,5,-9,-5,-7,-2
2,-6,-19,2,-5,-8,-5,-5,-3
2,1,-21,-7,3,-10,8,8,5
2,-3,-29,-1,0,-18,-1,-4,-2
2,-4,-17,5,0,-19,-4,-5,-5
2,6,4,-6,4,-1,4,7,10
2,-13,-23,-2,-1,-22,-6,-9,-7
2,-9,-17,-4,-10,-13,-10,-9,-5
2,5,-11,-6,-5,19,4,6,8
2,-7,-23,-1,6,-17,0,-4,-7
2,-10,-28,4,5,-10,-4,-4,-5
2,-5,-19,4,-5,-4,1,-5,0
2,-2,-22,-13,1,-11,3,9,0
2,-5,-29,-5,-5,-19,-7,-10,-5
2,-3,-17,7,2,-13,-2,-4,-4
2,7,7,-1,6,3,7,11,8
2,-15,-27,8,9,-8,-1,-12,-8
2,-3,-19,-2,-14,-18,-3,-3,-3
2,8,-12,-4,9,12,-1,1,6
2,-6,-25,-1,0,-9,3,-4,-7
2,-3,-23,0,-5,-11,-5,-3,2
2,-3,-20,5,5,-2,-5,-4,1
2,-3,-22,-8,-7,-12,6,2,1
2,-5,-28,-3,-7,-14,-7,-6,1
2,-4,-18,4,7,-14,0,-7,-5
2,4,1,-5,1,4,11,13,2
2,-12,-25,5,1,-19,-2,-10,-8
2,-2,-21,1,-6,-7,-2,-2,-1
2,4,-12,-12,-1,7,1,6,8
2,-6,-24,0,4,-13,-1,-7,-5
2,-5,-25,4,-3,-10,-7,-2,2
2,-4,-22,6,6,-8,-5,-4,-3
2,-4,-23,-6,-1,-11,4,8,-1
2,-6,-38,3,-7,-28,-8,0,0
2,-9,-19,3,0,-10,-4,-3,-6
2,8,0,-3,5,-5,8,3,7
2,-12,-26,0,-14,-21,-14,-9,-5
2,-6,-19,-2,7,-12,2,-5,-2
2,8,-14,0,0,-2,-1,7,10
2,-11,-25,-8,-7,-20,4,-3,-7
2,-3,-20,-1,-14,-20,-3,-8,0
2,-3,-19,0,2,-3,-2,-2,1
2,-2,-21,-4,-2,-14,-8,-4,-2
2,-8,-40,5,2,-4,-1,-5,1
2,-10,-19,3,-2,-7,-4,-15,-10
2,7,-5,-9,-4,-7,13,17,9
2,-12,-26,-6,-9,-33,-17,-14,0
2,-6,-18,-2,-4,-14,2,-5,-2
2,8,-18,4,18,15,19,12,2
2,-10,-23,-4,-19,-29,-19,-16,0
2,-2,-25,-3,-7,0,12,3,-5
2,-1,-21,2,3,-10,0,8,2
2,0,-23,-7,-2,-17,14,-11,5
2,-9,-40,5,5,-4,3,3,-8
2,-11,-20,5,-8,-10,7,-2,-10
2,4,-12,-11,-7,-7,-10,9,5
2,-8,-30,-1,2,-8,-12,-10,-9
2,-13,-19,4,0,-15,4,-8,-3
2,8,-8,-3,8,15,6,0,3
2,-16,-23,4,-2,-31,15,-3,-8
2,-9,-21,-15,10,-25,-6,4,-9
2,0,-17,5,-8,4,16,-10,6
2,-3,-23,-5,7,-15,-9,10,1
2,-6,-33,3,1,-14,-7,-9,-4
2,-10,-19,6,-23,-5,-1,-6,-3
2,5,-10,-10,27,-10,-14,27,3
2,-11,-38,-13,-12,4,-12,-15,-1
2,-5,-18,12,4,1,14,-3,-20
2,6,-1,3,3,-12,0,12,12
2,-5,-22,0,8,-30,-8,-14,-19
2,-16,-23,0,-17,24,-35,-3,10
2,-2,-20,-20,4,-14,-11,-3,2
2,-6,-26,3,7,-3,-30,6,4
2,-5,-38,6,0,-13,2,-18,-1
2,-14,-20,1,-3,-24,7,-36,-24
2,14,-9,-3,8,-14,-4,16,27
2,-2,-41,12,1,-26,-2,9,0
2,0,-20,-6,-22,-26,-22,3,4
2,11,2,-2,10,-7,11,25,4
2,-15,-32,-7,-10,-31,-12,-15,-9
2,-7,-23,5,9,-10,14,-10,-12
2,-2,-22,10,-4,20,7,-2,4
2,-4,-28,-19,-12,-23,-10,4,-14
2,1,-40,-10,-17,-21,-11,3,18
2,-11,-24,9,17,-17,19,-14,-19
2,-5,-10,-14,-9,-8,-4,-10,0
2,-11,-36,5,0,-12,15,1,-6
2,-4,-20,13,11,5,-6,-31,-11
2,5,2,-15,-30,-14,2,11,14
2,-16,-34,-11,5,-28,-10,-6,-16
2,-7,-25,12,11,-18,-2,-33,11
2,9,-23,12,7,-7,-23,-1,5
2,-13,-29,3,14,-8,-6,-9,5
2,-10,-38,-14,-20,-46,-8,-6,-23
2,1,-24,-3,1,-25,7,5,18
2,-14,-12,3,15,-10,4,-26,-4
2,-2,-39,-19,-37,-41,-49,28,-5
2,-1,-20,27,44,-5,13,-3,5
2,4,-11,15,16,13,-2,6,1
2,-24,-34,-40,-39,57,-7,-5,2
2,2,-22,14,43,-8,6,-19,3
2,1,-25,5,-7,25,-4,-9,15
2,-15,-26,-10,9,-33,-17,-10,-26
2,8,-40,42,68,3,-5,62,1
2,-15,-28,-23,-82,-4,-11,-24,-13
2,25,-20,-24,55,-8,3,32,31
2,-27,-44,17,27,-32,-3,3,-10
2,-14,-23,-2,-28,-22,23,-16,-7
2,27,5,20,52,-3,25,17,18
2,-18,-32,11,-59,-53,-32,-30,-24
2,-4,-23,-45,-89,38,-3,-3,6
2,6,-15,6,28,-17,26,-8,0
2,-12,-33,-9,10,-17,-13,-9,-3
2,-2,-31,15,-6,-20,-23,-44,-9
2,-4,-25,27,21,-28,29,-10,-5
2,12,-23,-17,-40,-34,-27,-12,6
2,-9,-60,-15,-5,-12,-3,-19,-36
2,-8,-25,0,-5,-21,13,2,1
2,16,5,15,25,-11,-5,14,7
2,-13,-36,-28,-72,-74,-27,0,2
2,-3,-20,5,29,-37,-16,1,3
2,0,-18,5,14,20,34,4,-7
2,-9,-33,-9,19,-31,4,-7,1
2,6,-35,1,-41,-16,-22,-15,1
2,-10,-26,-9,-10,-8,-8,-18,-4
2,4,-29,-30,3,-21,-6,24,8
2,4,-34,17,-1,-17,-1,-37,-5
2,-22,-24,10,29,-26,22,10,-9
2,-1,0,1,-11,6,15,-16,31
2,-20,-21,-11,-23,-11,4,3,-18
2,10,-28,6,16,-22,42,-12,2
2,-20,-19,4,31,3,8,-20,-10
2,-5,-28,2,-19,-19,-13,-5,-11
2,-5,-24,10,10,-25,19,20,8
2,6,-27,-3,3,-17,-23,6,-6
2,-12,-25,-43,-20,-18,-22,16,6
2,-14,-48,10,13,-10,15,-5,1
2,-13,-28,5,-24,-11,17,-2,-11
2,13,0,3,26,-4,2,6,2
2,-17,-70,-2,-23,48,-21,-34,2
2,10,-22,-10,-1,-34,0,45,-13
2,-6,-23,2,26,42,7,-3,5
2,-15,-35,-7,-16,-33,-25,-6,-30
2,14,-25,19,23,7,6,13,-10
2,-19,-29,10,-19,2,45,-18,1
2,9,-36,-19,-17,-24,-45,-22,-17
2,-4,-34,-11,6,-56,7,30,13
2,-5,-20,21,51,-38,39,-44,-12
2,6,-8,-16,-25,-3,2,26,-8
2,-9,-47,14,25,-32,9,-7,14
2,-18,-33,2,-14,-15,-6,-22,7
2,18,-9,3,13,-23,64,30,4
2,-6,-32,-11,15,-11,-10,-16,8
2,-24,-30,-8,-36,5,-13,-57,-1
2,-9,-32,-2,-10,-5,12,15,6
2,-1,-29,7,34,-27,-14,15,3
2,-2,-38,-5,-17,-29,-21,-100,-15
2,-23,-27,17,26,-18,7,-5,-28
2,29,-22,-11,-13,5,-24,15,52
2,-23,-44,-9,7,-41,0,24,-8
2,-9,-29,12,-3,49,4,-16,-13
2,13,-15,-20,-28,-9,-44,-1,4
2,-17,-33,8,18,-4,16,-16,3
2,-13,-25,1,-14,23,3,-36,-3
2,-8,-27,8,-2,-16,-14,7,-3
2,3,-32,-33,-51,-23,-23,19,11
2,-25,-28,13,18,16,5,-52,-16
2,-17,-25,-18,-47,7,-2,5,-18
2,9,-11,-5,26,-7,-23,20,-7
2,-7,-43,11,8,-22,19,-13,25
2,-14,-30,-10,-16,-28,-14,31,-20
2,25,-24,16,25,24,24,-23,-10
2,-9,-31,-14,-6,-27,-19,-1,3
2,25,-24,16,25,24,24,-23,-10
2,-9,-31,-14,-6,-27,-19,-1,3
3,-2,-26,1,3,-26,-13,0,22
3,4,-27,-3,-4,0,51,4,-17
3,0,-26,-7,-13,-32,-47,-53,6
3,-19,-61,7,-23,-34,29,70,15
3,-12,-29,-2,-2,-29,25,-23,-30
3,21,-8,-21,-6,-31,-16,-31,13
3,-41,-35,4,11,-34,-13,-8,-18
3,12,-22,-7,-11,1,21,-7,13
3,-16,-36,3,14,35,-2,-9,-13
3,-8,-34,-11,-22,-20,-24,-4,-4
3,17,-25,14,11,-30,-29,-57,-7
3,2,-20,2,1,-21,20,-23,-5
3,5,-24,2,37,-22,-18,4,9
3,21,-49,-7,-36,-8,-14,-35,-6
3,-14,-27,-2,-13,-29,15,-22,-23
3,2,-23,7,27,-4,-23,40,17
3,-18,-38,-8,-16,-21,7,-3,-26
3,18,-28,14,14,-35,13,28,3
3,-32,-4,-17,-8,8,-47,10,-4
3,0,-31,-2,-1,-35,-7,-29,-3
3,9,-24,-21,-82,0,26,40,9
3,-25,-27,21,36,-7,19,-12,-5
3,15,-32,-3,9,-20,55,32,19
3,-20,-25,-14,-25,0,-13,-77,-18
3,-13,-24,5,33,-17,8,-43,-8
3,0,-15,-5,-10,4,-14,26,8
3,5,-53,14,18,-9,23,28,6
3,-15,-27,-1,-9,-43,-14,-39,-6
3,6,-21,2,15,-2,82,5,18
3,-43,-43,-11,3,-37,-15,-28,-47
3,7,-24,3,-2,-15,0,7,-7
3,10,-30,-5,-17,-6,33,14,10
3,-2,-31,18,27,-20,-11,3,0
3,-9,-35,0,-8,-23,-16,-80,-16
3,-12,-30,-16,-57,-13,3,-35,-12
3,9,-23,-4,20,-15,-3,28,13
3,21,-36,5,-6,-1,0,21,14
3,34,-28,14,24,-41,44,35,16
3,3,-7,4,-6,-24,-43,-41,21
3,-1,-35,-18,-40,-15,-20,-8,-15
3,-17,-27,2,19,-36,11,30,-15
3,24,-29,3,12,0,37,16,35
3,-4,-33,15,15,-17,-8,22,2
3,-55,-24,-7,-3,-12,-15,-83,-59
3,-11,-27,-11,-43,-14,-22,-33,-12
3,10,-24,-15,-6,5,-31,25,10
3,-36,-18,-11,5,-12,-5,-57,5
3,14,-28,29,58,-22,27,-39,-9
3,18,10,-19,-41,3,-68,-71,-16
3,-13,-37,-8,-7,-29,-10,-4,4
3,18,-28,11,20,-23,28,63,21
3,-7,-30,-5,-6,12,-26,20,-4
3,1,-32,11,21,-27,13,3,-2
3,-10,-30,-8,-16,-27,18,23,-6
3,-5,-33,4,19,-10,25,51,-2
3,16,-28,-21,-23,-21,36,-71,30
3,-37,-66,0,14,-6,15,1,-27
3,-8,-26,6,7,-39,19,-35,-24
3,-28,6,-11,-34,0,-19,-7,-13
3,4,-31,14,35,-18,25,43,1
3,-33,-23,-26,-27,-11,-16,-58,-34
3,49,-14,3,-14,10,-28,-18,4
3,-86,-37,13,-18,-26,9,1,-7
3,25,-33,22,24,-41,41,100,14
3,7,-26,-5,23,-35,17,-6,8
3,-17,-32,-38,-33,-1,-7,38,2
3,66,-73,0,-38,-12,21,8,-1
3,-14,-30,31,23,-13,42,9,8
3,18,-3,4,34,0,-14,-41,13
3,-48,-68,-9,-48,8,50,-13,-38
3,44,-28,-10,12,41,48,-29,-11
3,-27,-26,-27,-27,5,16,8,21
3,16,-35,23,40,-33,28,46,-5
3,-15,-29,0,-53,43,-29,-42,27
3,50,-32,12,55,-33,7,13,-13
3,-78,-36,-29,-7,-13,-19,12,-27
3,-40,-15,18,1,2,57,92,12
3,46,-24,46,57,-13,3,78,8
3,-23,2,-47,-97,-8,-39,-63,10
3,52,-22,19,15,-49,44,34,23
3,-58,-35,10,34,-32,47,43,-24
3,19,-14,-32,-30,-9,-37,-7,-19
3,2,-34,-9,10,-38,20,47,0
3,2,-32,-2,-11,-9,-21,-24,-37
3,3,-34,26,4,-14,19,44,15
3,-1,-27,-16,37,-25,27,32,5
3,-50,-63,4,-8,-30,-9,-60,-10
3,1,-31,-18,-4,-28,-90,-74,-14
3,52,-17,23,21,-7,29,62,19
3,-57,-23,-21,-21,-12,41,-128,-18
3,18,-23,-18,20,-23,-30,4,-20
3,-1,-18,14,0,-5,10,37,1
3,-1,-35,-20,-84,-21,-13,-30,0
3,40,-30,8,53,-27,13,1,11
3,-42,-25,-4,-23,-17,27,-5,-3
3,37,-33,9,37,-10,23,28,16
3,-65,-46,-28,-34,-34,-38,4,-6
3,-60,-29,16,51,-20,39,114,1
3,36,-5,-18,-77,-31,-5,-55,14
3,-44,-88,3,36,24,39,-19,-12
3,58,-31,4,12,5,27,-60,3
3,79,-19,7,8,-39,-18,-23,1
3,-29,-32,10,29,-30,119,62,-3
3,33,-15,-17,-48,-14,-17,-57,-17
3,-1,-24,-5,37,-9,18,-14,-8
3,-20,-31,-3,-38,-17,18,-116,-26
3,-4,-11,11,19,-21,43,57,18
3,-68,-17,31,68,-54,68,30,-4
3,23,-18,-78,-111,8,-5,26,9
3,-49,-79,44,109,-29,81,57,-9
3,11,-32,19,36,25,2,-70,-39
3,-1,-14,-8,-5,2,-19,28,10
3,-67,-30,-6,30,-32,7,-21,-10
3,-52,-22,-12,-52,-14,22,-20,-28
3,4,-33,-12,-10,-6,16,21,11
3,23,-30,14,31,-21,26,76,19
3,73,-61,26,7,20,25,-128,12
3,21,-25,-23,-20,-26,-25,-60,-18
3,-22,-25,0,89,5,8,108,-14
3,-10,-57,-38,-82,-42,51,39,35
3,26,-26,8,-21,-2,-33,-73,-8
3,-2,-28,11,44,-11,29,53,37
3,16,-36,-18,-55,-23,-1,7,4
3,-25,-23,7,71,-18,26,-112,-54
3,-16,-23,24,22,-41,2,26,-13
3,-118,-25,12,27,-5,1,54,4
3,54,-59,13,49,-6,-19,-79,-9
3,30,-28,-38,-69,-30,-28,-49,-23
3,-128,-4,-18,-9,-7,1,100,19
3,25,-50,6,60,-16,-59,-15,-35
3,106,-26,-21,-96,-24,-34,73,67
3,73,-34,8,71,-17,-23,33,12
3,46,-34,20,54,-25,-6,-33,-10
3,-22,-26,-20,-20,-30,8,-17,-31
3,-60,-26,14,96,-13,11,-8,-15
3,9,-27,-50,-128,-7,7,-71,-2
3,-56,-49,74,127,-15,61,84,-24
3,-5,-24,4,-57,-34,24,-41,12
3,-18,-12,31,68,-13,8,30,-28
3,-1,-26,10,-39,-19,32,-12,-26
3,120,-26,-34,-60,-17,63,81,27
3,43,-42,-15,-95,-16,86,-37,30
3,7,-32,13,34,-40,115,-1,11
3,-91,-25,-3,33,40,37,110,61
3,44,-23,-15,-31,-12,3,-30,-17
3,44,-17,-20,-5,-7,8,78,16
3,-77,-42,-33,-22,-28,-4,5,-50
3,-45,-24,17,-18,-26,-2,-20,-48
3,-19,-17,-35,-13,-12,5,-58,18
3,6,-39,22,35,-44,1,51,11
