timestamp,x,y,z
1516786565223669,-0.0678711,0.00927734,0.791016
1516786565238690,-0.117676,-0.741211,0.880371
1516786565260751,-0.148438,-1.05273,0.843262
1516786565283837,-0.135742,-0.992188,0.777344
1516786565298851,-0.175293,-0.768555,0.754883
1516786565320910,-0.182617,-0.694824,0.792969
1516786565343973,-0.0634766,-0.649902,0.828125
1516786565359011,-0.0585938,-0.608398,0.768555
1516786565381071,-0.0712891,-0.594238,0.692871
1516786565404133,-0.131836,-0.751465,0.70752
1516786565419180,-0.059082,-0.920898,0.841309
1516786565441383,-0.00244141,-0.97998,0.86377
1516786565463432,0.0390625,-0.725098,0.903809
1516786565478475,-0.131836,-0.47168,0.901855
1516786565501537,-0.0205078,-0.643555,0.929688
1516786565523449,-0.00585938,-0.813477,0.960938
1516786565538642,-0.00341797,-0.780273,0.911133
1516786565561551,-0.0839844,-0.493164,0.835449
1516786565583827,-0.0922852,-0.525879,0.790527
1516786565606893,-0.0141602,-0.785156,1.03662
1516786565621820,0.074707,-1.14404,1.08984
1516786565643980,0.103027,-1.22803,0.96582
1516786565658810,0.11377,-0.781738,0.697754
1516786565681006,0.335449,-0.0644531,0.621094
1516786565704075,0.562012,0.287109,0.248047
1516786565719115,0.821777,0.393066,0.358398
1516786565741028,0.992676,0.443359,0.51709
1516786565764088,0.764648,0.442871,0.538574
1516786565787151,0.51123,0.340332,0.496582
1516786565801187,0.431152,0.228027,0.759277
1516786565823247,0.426758,0.0566406,0.802734
1516786565840292,0.602539,0.105469,0.789551
1516786565861492,0.83252,0.381348,0.861816
1516786565885412,0.883789,0.895508,0.655762
1516786565900451,0.664551,1.31396,0.503418
1516786565921740,0.276855,1.35156,0.349121
1516786565937551,0.331543,1.18506,0.402832
1516786565959827,0.339844,0.924316,0.548828
1516786565989870,0.294434,0.759766,0.612305
1516786565997712,0.217773,0.799805,0.634766
1516786566019899,0.141602,1.00488,0.539063
1516786566041048,0.0722656,1.06299,0.409668
1516786566057872,0.10791,0.984863,0.617676
1516786566079959,0.0551758,0.943359,0.646484
1516786566100991,-0.0390625,1.16748,0.722656
1516786566118050,-0.183105,1.18262,0.776855
1516786566140089,-0.163574,1.1167,0.600098
1516786566162181,-0.141602,1.28027,0.693359
1516786566177189,-0.196289,1.02539,0.891602
1516786566200249,-0.417969,0.570313,1.08643
1516786566221306,-0.963867,0.151367,1.47949
1516786566237376,-1.31982,-0.456543,2.11084
